,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
File_01,0,15288,1536.249,0,13304,16815.185,14176.001,13560,32,9360,7696,0
File_02,0,17040,2967.999,0,18728.001,18191.999,17871.999,14376.002,3696,2176,10464,6432
File_03,0,19663.999,13976.002,0,15160,19192.001,22696.002,24680,3196.258,13318.725,17112,7663.999
File_04,0,22960.001,4431.999,0,11135.999,17784.001,25639.998,20112.001,280,9496,15984.002,4016
File_05,0,17288.001,776,0,14904.001,21208,17455.997,15992.001,208,6256,10015.997,440.002
File_06,0,19032,2944,0,19800,18032.001,18872.002,15887.999,3976,5392,11560.002,6632.002
File_07,0,16887.998,15696,0,12328,16928,20096,21608,3400,9464,16176,9703.999
File_08,0,18488.002,1103.999,0,7736,15287.999,21807.997,17464,16,6808,14599.998,2032
File_09,0,17135.745,1304,0,11822.467,7248.413,10262.217,13356.294,0,8432,7600,0
File_10,0,17656,2280,0,15263.133,8453.064,10361.076,12026.528,4082.313,1624,8048,6472
File_11,0,17136,14742.101,0,11511.253,10295.583,12675.616,19410.196,2648,10928,10232.001,8839.999
File_12,0,21384,2911.833,0,8928,11152.506,18455.938,16854.164,0,9712,9880,2880
File_13,0,16364.863,672,0,9420.397,13513.022,7894.41,10915.656,0,8080,6592,0
File_14,0,16320,2363.211,0,11459.396,9208.756,9281.787,7991.956,3968,2768,6440,1047.998
File_15,0,13352,15748.585,0,6337.672,8324.839,14218.967,15026.252,3448,10618.781,11248,1463.998
File_16,0,16655.998,1936.001,0,3641.028,8742.627,20012.699,16761.012,0,8576,12584,480
File_17,0,15440,1104,0,8056,6704,9839.999,8088,0,8296,5304,0
File_18,0,15096,2240,0,9848,8016.001,9384,8992,4472,0,7368,6407.999
File_19,0,10503.999,14760,0,10208,9808,11080,16048,2648,1984,8343.999,9071.999
File_20,0,12863.999,2711.999,0,9048,9920.002,17551.999,12328.001,0,1920,8063.998,2592
File_21,0,6880,600,0,7720,13631.999,6704,7544.001,0,6608,4936,0
File_22,0,9120,2240,0,9104,9000.001,8472,4736.001,3952,2632,2592,0
File_23,0,7888,15688,0,3168,7248,13960,7743.691,2864,11008,6912,0
File_24,0,8768,2055.999,0,0,8448,19192.001,9104,0,8896,7776,0
File_25,0,15456,864,0,8080,7039.999,9440.001,8112,0,7608,5200,0
File_26,0,10584,2224,0,10216,8079.999,9824,9040,4480,416,7384,6392.001
File_27,0,8384,15008,0,9888,9552,11024,16072,2632,1848,8320,9024.003
File_28,0,11904,2216,0,9040,10159.999,17471.999,12664,0,0,8640.002,2592
File_29,0,6976,896,0,7712,13176.002,6704,7583.999,0,5536,4400,0
File_30,0,9272,2184,0,9120,9280,8528,4624,3952,2176,2600,0
File_31,0,7880,15192,0,3168,7168,14168,5744,2688,11008,6912,0
File_32,0,9048.001,2672,0,0,8272,18911.999,8936,0,9240,7888,0
File_33,0,15160,872,0,8087.999,7168.001,9408,8144,0,7656,5080,0
File_34,0,10536,2232,0,10312,8096,9879.999,9048,4480,448,7368,6120.001
File_35,0,8544,15016,0,9728,9360,10632,16072,3065.474,1776,8304.001,9063.999
File_36,0,11896,2576.001,0,9072,10648,17384.004,12223.999,0,400,8400,2592
File_37,0,7040,544,0,7736,12927.998,6712,8040,0,5288,4416,4520
File_38,0,9168,1963.172,0,9087.999,9416,8480,4752,3976,2208,2592,0
File_39,0,7928,15208,0,3160,7168,14112,5485.573,2688,11048,6952,0
