*Na (Z = 11) Atomic weight: /A_r / = 22.98980 g mol^-1 *   Nominal
density:   /ρ/ (g cm^-3 ) = 9.6900E-01
    /σ//_a /(barns/atom) = [/μ///ρ/](cm^2 g^-1 )  ×  3.81755E+01 
    /E/(eV) [/μ///ρ/](cm^2 g^-1 ) = /f/_2 (/e/ atom^-1 )  ×  1.83039E+06 
    4 edges. Edge energies (keV):

     
      K      1.07210E+00  L I    6.33000E-02  L II   3.11000E-02  L III  3.11000E-02 

    Relativistic correction estimate /f/_rel (H82,3/5CL) = -1.5378E-02,
    -8.4000E-03 /e/ atom^-1 
    Nuclear Thomson correction /f/_NT = -2.8873E-03 /e/ atom^-1 

------------------------------------------------------------------------
*Form Factors, Attenuation and Scattering Cross-sections*
*Z=11, /E/ = 0.5 - 50 keV*

      /E/            /f/_1           /f/_2         [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]_/K/       lambda
                                      Photoelectric Coh+inc      Total
     keV        /e/ atom^-1       /e/ atom^-1    cm^2  /g/^-1        cm^2  /g/^-1       cm^2  /g/^-1    cm^2  /g/^-1      nm
5.124891E-01  9.67130E+00  9.4647E-01  3.3804E+03  1.4359E+00  3.3818E+03  0.000E+00  2.419E+00
5.478508E-01  9.61523E+00  8.5583E-01  2.8594E+03  1.4979E+00  2.8609E+03  0.000E+00  2.263E+00
5.856525E-01  9.55196E+00  7.7342E-01  2.4172E+03  1.5569E+00  2.4188E+03  0.000E+00  2.117E+00
6.260625E-01  9.47867E+00  6.9457E-01  2.0307E+03  1.6125E+00  2.0323E+03  0.000E+00  1.980E+00
6.692609E-01  9.39178E+00  6.2355E-01  1.7054E+03  1.6642E+00  1.7071E+03  0.000E+00  1.853E+00
7.154399E-01  9.28740E+00  5.5968E-01  1.4319E+03  1.7115E+00  1.4336E+03  0.000E+00  1.733E+00
7.648052E-01  9.15862E+00  5.0234E-01  1.2022E+03  1.7542E+00  1.2040E+03  0.000E+00  1.621E+00
8.175768E-01  8.99314E+00  4.5092E-01  1.0095E+03  1.7917E+00  1.0113E+03  0.000E+00  1.516E+00
