*Ti (Z = 22) Atomic weight: /A_r / = 47.88000 g mol^-1 *   Nominal
density:   /ρ/ (g cm^-3 ) = 4.5300
    /σ//_a /(barns/atom) = [/μ///ρ/](cm^2 g^-1 )  ×  7.95067E+01 
    /E/(eV) [/μ///ρ/](cm^2 g^-1 ) = /f/_2 (/e/ atom^-1 )  ×  8.78870E+05 
    7 edges. Edge energies (keV):

     
      K      4.96640E+00  L I    5.63700E-01  L II   4.61500E-01  L III  4.55500E-01 
      M I    6.03000E-02  M II   3.46000E-02  M III  3.46000E-02 

    Relativistic correction estimate /f/_rel (H82,3/5CL) = -7.3171E-02,
    -4.5000E-02 /e/ atom^-1 
    Nuclear Thomson correction /f/_NT = -5.5454E-03 /e/ atom^-1 

------------------------------------------------------------------------
*Form Factors, Attenuation and Scattering Cross-sections*
*Z=22, /E/ = 0.5 - 50 keV*

      /E/            /f/_1           /f/_2         [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]_/K/       lambda
                                      Photoelectric Coh+inc      Total
     keV        /e/ atom^-1       /e/ atom^-1    cm^2  /g/^-1        cm^2  /g/^-1       cm^2  /g/^-1    cm^2  /g/^-1      nm
5.124891E-01  1.10633E+01  1.3816E+01  2.3693E+04  2.4068E+00  2.3695E+04  0.000E+00  2.419E+00
5.478508E-01  1.30866E+01  1.2665E+01  2.0317E+04  2.5179E+00  2.0320E+04  0.000E+00  2.263E+00
5.524260E-01  1.31659E+01  1.2526E+01  1.9928E+04  2.5315E+00  1.9931E+04  0.000E+00  2.244E+00
5.608815E-01  1.28802E+01  1.2274E+01  1.9233E+04  2.5562E+00  1.9236E+04  0.000E+00  2.211E+00
5.631363E-01  1.21445E+01  1.2208E+01  1.9053E+04  2.5627E+00  1.9056E+04  0.000E+00  2.202E+00
5.665185E-01  1.31577E+01  1.3763E+01  2.1351E+04  2.5723E+00  2.1354E+04  0.000E+00  2.189E+00
5.749740E-01  1.42700E+01  1.3515E+01  2.0658E+04  2.5960E+00  2.0661E+04  0.000E+00  2.156E+00
5.856525E-01  1.50556E+01  1.3211E+01  1.9825E+04  2.6251E+00  1.9828E+04  0.000E+00  2.117E+00
6.260625E-01  1.69001E+01  1.2153E+01  1.7060E+04  2.7274E+00  1.7063E+04  0.000E+00  1.980E+00
6.692609E-01  1.81505E+01  1.1157E+01  1.4652E+04  2.8240E+00  1.4655E+04  0.000E+00  1.853E+00
7.154399E-01  1.90837E+01  1.0224E+01  1.2559E+04  2.9142E+00  1.2562E+04  0.000E+00  1.733E+00
7.648052E-01  1.98089E+01  9.3601E+00  1.0756E+04  2.9972E+00  1.0759E+04  0.000E+00  1.621E+00
8.175768E-01  2.03785E+01  8.5328E+00  9.1725E+03  3.0725E+00  9.1756E+03  0.000E+00  1.516E+00
8.739896E-01  2.08094E+01  7.7655E+00  7.8089E+03  3.1393E+00  7.8120E+03  0.000E+00  1.419E+00
