*Ni (Z = 28) Atomic weight: /A_r / = 58.69000 g mol^-1 *   Nominal
density:   /ρ/ (g cm^-3 ) = 8.8760
    /σ//_a /(barns/atom) = [/μ///ρ/](cm^2 g^-1 )  ×  9.74571E+01 
    /E/(eV) [/μ///ρ/](cm^2 g^-1 ) = /f/_2 (/e/ atom^-1 )  ×  7.16993E+05 
    9 edges. Edge energies (keV):

     
      K      8.33280E+00  L I    1.00810E+00  L II   8.71900E-01  L III  8.54700E-01 
      M I    1.11800E-01  M II   6.81000E-02  M III  6.81000E-02  M IV   3.60000E-03 
      M V    3.60000E-03 

    Relativistic correction estimate /f/_rel (H82,3/5CL) = -1.2883E-01,
    -8.1000E-02 /e/ atom^-1 
    Nuclear Thomson correction /f/_NT = -7.3281E-03 /e/ atom^-1 

------------------------------------------------------------------------
*Form Factors, Attenuation and Scattering Cross-sections*
*Z=28, /E/ = 0.5 - 50 keV*

      /E/            /f/_1           /f/_2         [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]_/K/       lambda
                                      Photoelectric Coh+inc      Total
     keV        /e/ atom^-1       /e/ atom^-1    cm^2  /g/^-1        cm^2  /g/^-1       cm^2  /g/^-1    cm^2  /g/^-1      nm
5.124891E-01  1.83055E+01  3.4539E+00  4.8322E+03  3.2375E+00  4.8354E+03  0.000E+00  2.419E+00
5.478508E-01  1.81427E+01  3.2304E+00  4.2278E+03  3.4019E+00  4.2312E+03  0.000E+00  2.263E+00
5.856525E-01  1.78905E+01  3.0161E+00  3.6924E+03  3.5620E+00  3.6960E+03  0.000E+00  2.117E+00
6.260625E-01  1.75178E+01  2.8117E+00  3.2201E+03  3.7163E+00  3.2238E+03  0.000E+00  1.980E+00
6.692609E-01  1.69681E+01  2.6180E+00  2.8047E+03  3.8638E+00  2.8086E+03  0.000E+00  1.853E+00
7.154399E-01  1.61269E+01  2.4352E+00  2.4404E+03  4.0033E+00  2.4444E+03  0.000E+00  1.733E+00
7.648052E-01  1.47079E+01  2.2632E+00  2.1217E+03  4.1336E+00  2.1258E+03  0.000E+00  1.621E+00
8.175768E-01  1.15821E+01  2.1021E+00  1.8435E+03  4.2536E+00  1.8478E+03  0.000E+00  1.516E+00
8.376060E-01  8.76961E+00  2.0462E+00  1.7516E+03  4.2944E+00  1.7559E+03  0.000E+00  1.480E+00
8.504265E-01  3.93819E+00  2.0119E+00  1.6962E+03  4.3193E+00  1.7005E+03  0.000E+00  1.458E+00
8.544620E-01 -5.44705E+00  2.0013E+00  1.6793E+03  4.3269E+00  1.6836E+03  0.000E+00  1.451E+00
8.589735E-01  3.45285E+00  1.1918E+01  9.9479E+03  4.3353E+00  9.9522E+03  0.000E+00  1.443E+00
8.675405E-01  5.48784E+00  1.1735E+01  9.6987E+03  4.3510E+00  9.7031E+03  0.000E+00  1.429E+00
8.710281E-01  3.82284E+00  1.1662E+01  9.5998E+03  4.3572E+00  9.6042E+03  0.000E+00  1.423E+00
8.717940E-01  6.87490E-01  1.1646E+01  9.5782E+03  4.3586E+00  9.5826E+03  0.000E+00  1.422E+00
8.739896E-01  5.80960E+00  1.6508E+01  1.3543E+04  4.3625E+00  1.3547E+04  0.000E+00  1.419E+00
8.762595E-01  7.36968E+00  1.6442E+01  1.3453E+04  4.3665E+00  1.3457E+04  0.000E+00  1.415E+00
8.893380E-01  1.12789E+01  1.6066E+01  1.2953E+04  4.3889E+00  1.2957E+04  0.000E+00  1.394E+00
9.342948E-01  1.62345E+01  1.4877E+01  1.1417E+04  4.4592E+00  1.1421E+04  0.000E+00  1.327E+00
9.879380E-01  1.84258E+01  1.3649E+01  9.9055E+03  4.5304E+00  9.9100E+03  0.000E+00  1.255E+00
9.987612E-01  1.84133E+01  1.3424E+01  9.6365E+03  4.5432E+00  9.6410E+03  0.000E+00  1.241E+00
1.003060E+00  1.82231E+01  1.3334E+01  9.5315E+03  4.5482E+00  9.5360E+03  0.000E+00  1.236E+00
1.007092E+00  1.74472E+01  1.3251E+01  9.4340E+03  4.5527E+00  9.4386E+03  0.000E+00  1.231E+00
1.013141E+00  1.85689E+01  1.4933E+01  1.0568E+04  4.5595E+00  1.0573E+04  0.000E+00  1.224E+00
1.028262E+00  1.98654E+01  1.4615E+01  1.0191E+04  4.5757E+00  1.0196E+04  0.000E+00  1.206E+00
1.067676E+00  2.15374E+01  1.3841E+01  9.2950E+03  4.6138E+00  9.2996E+03  0.000E+00  1.161E+00
1.141345E+00  2.33736E+01  1.2599E+01  7.9145E+03  4.6703E+00  7.9192E+03  0.000E+00  1.086E+00
1.220098E+00  2.46251E+01  1.1485E+01  6.7491E+03  4.7126E+00  6.7538E+03  0.000E+00  1.016E+00
1.304285E+00  2.55591E+01  1.0475E+01  5.7585E+03  4.7404E+00  5.7632E+03  0.000E+00  9.506E-01
