Z   fnt         frel
8   2.1944E-03  7.7133E-03
11  2.8873E-03  1.5378E-02
12  3.2502E-03  1.8616E-02
13  3.4361E-03  2.2218E-02
14  3.8284E-03  2.6197E-02
15  3.9850E-03  3.0566E-02
16  4.3804E-03  3.5338E-02
17  4.4718E-03  4.0526E-02
18  4.4493E-03  4.6144E-02
19  5.0651E-03  5.2204E-02
20  5.4748E-03  5.8720E-02
21  5.3814E-03  6.5705E-02
22  5.5454E-03  7.3171E-02
23  5.6967E-03  8.1133E-02
24  6.0770E-03  8.9603E-02
25  6.2409E-03  9.8594E-02
26  6.6403E-03  1.0812E-01
27  6.7859E-03  1.1819E-01
28  7.3281E-03  1.2883E-01
29  7.2602E-03  1.4003E-01
30  7.5516E-03  1.5183E-01
