0	13	0
0.0050	12.9920	0.0100
0.0100	12.9740	0.0390
0.0150	12.9450	0.0871
0.0200	12.9030	0.1530
0.0230	12.8490	0.2353
0.0300	12.7850	0.3325
0.0400	12.6280	0.5642
0.0500	12.4390	0.8320
0.0700	11.9840	1.4192
0.0900	11.4810	1.9967
0.1000	11.2250	2.2640
0.1250	10.6100	2.8508
0.1500	10.0540	3.3240
0.1750	9.5711	3.7123
0.2000	9.1552	4.0470
0.2500	8.4606	4.6534
0.3000	7.8674	5.2500
0.4000	6.7617	6.4350
0.5000	5.6864	7.5230
0.6000	4.7049	8.4590
0.7000	3.8742	9.2250
0.8000	3.2115	9.8300
0.9000	2.7041	10.2960
1	2.3248	10.6520
1.2500	1.7537	11.2330
1.5000	1.4812	11.5920
2	1.1924	12.0830
2.5000	0.9755	12.4250
3	0.7931	12.6520
3.5000	0.6107	12.7940
4	0.5025	12.8790
5	0.2860	12.9570
6	0.1766	12.9840
7	0.1130	12.9930
8	0.0870	12.9970
10	0.0349	12.9990
15	0.0084	13
20	0.0028	13
40	8.2435e-05	13
80	1.3365e-05	13
100	5.6698e-06	13
1000	1.3856e-09	13
1000000	9.5230e-19	13
1.0000e+09	1.0130e-27	13
