08	0.525	o	0.543	0.001308	0.0
11	1.040	na	1.070	0.970000	1.071
12	1.253	mg	1.303	1.740000	1.302
13	1.486	al	1.559	2.700000	1.557
14	1.739	si	1.839	2.330000	1.835
15	2.013	p	2.146	1.820000	2.139
16	2.307	s	2.472	2.070000	2.464
17	2.622	cl	2.822	0.003210	2.815
18	2.957	ar	3.206	0.001663	3.190
19	3.313	k	3.608	0.860000	3.589
20	3.691	ca	4.038	1.550000	4.012
21	4.090	sc	4.492	2.989000	4.460
22	4.510	ti	4.966	4.540000	4.931
23	4.952	v	5.465	6.000000	5.427
24	5.414	cr	5.989	7.190000	5.946
25	5.898	mn	6.539	7.430000	6.490
26	6.403	fe	7.112	7.870000	7.057
27	6.930	co	7.709	8.900000	7.649
28	7.478	ni	8.333	8.900000	8.264
29	8.047	cu	8.979	8.960000	8.905
30	8.638	zn	9.659	7.130000	9.572
