Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 1.919E+00 1.270E-02 6.523E+02 6.542E+02 
1.035E-03 1.909E+00 1.326E-02 5.939E+02 5.958E+02 
1.072E-03 1.898E+00 1.384E-02 5.412E+02 5.431E+02 
1.072E-03 1.898E+00 1.384E-02 6.433E+03 6.435E+03 
1.500E-03 1.775E+00 1.994E-02 3.193E+03 3.195E+03 
2.000E-03 1.641E+00 2.638E-02 1.519E+03 1.521E+03 
3.000E-03 1.403E+00 3.948E-02 5.056E+02 5.070E+02 
4.000E-03 1.185E+00 5.284E-02 2.249E+02 2.261E+02 
5.000E-03 9.925E-01 6.557E-02 1.183E+02 1.194E+02 
6.000E-03 8.306E-01 7.717E-02 6.939E+01 7.030E+01 
8.000E-03 5.931E-01 9.624E-02 2.950E+01 3.018E+01 
1.000E-02 4.409E-01 1.101E-01 1.502E+01 1.557E+01 
1.500E-02 2.470E-01 1.300E-01 4.317E+00 4.694E+00 
2.000E-02 1.612E-01 1.397E-01 1.756E+00 2.057E+00 
3.000E-02 8.597E-02 1.484E-01 4.854E-01 7.198E-01 
4.000E-02 5.325E-02 1.509E-01 1.927E-01 3.969E-01 
5.000E-02 3.607E-02 1.506E-01 9.370E-02 2.804E-01 
