Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 2.256E+00 1.427E-02 1.183E+03 1.185E+03 
1.500E-03 2.040E+00 2.477E-02 4.002E+02 4.023E+02 
1.560E-03 2.015E+00 2.594E-02 3.600E+02 3.621E+02 
1.560E-03 2.015E+00 2.594E-02 3.955E+03 3.957E+03 
2.000E-03 1.838E+00 3.375E-02 2.261E+03 2.263E+03 
3.000E-03 1.523E+00 4.732E-02 7.865E+02 7.881E+02 
4.000E-03 1.295E+00 5.810E-02 3.591E+02 3.605E+02 
5.000E-03 1.116E+00 6.787E-02 1.922E+02 1.934E+02 
6.000E-03 9.638E-01 7.696E-02 1.143E+02 1.153E+02 
8.000E-03 7.229E-01 9.292E-02 4.950E+01 5.032E+01 
1.000E-02 5.513E-01 1.058E-01 2.556E+01 2.621E+01 
1.500E-02 3.136E-01 1.265E-01 7.515E+00 7.955E+00 
2.000E-02 2.046E-01 1.371E-01 3.100E+00 3.442E+00 
3.000E-02 1.095E-01 1.464E-01 8.722E-01 1.128E+00 
4.000E-02 6.859E-02 1.494E-01 3.504E-01 5.684E-01 
5.000E-02 4.678E-02 1.496E-01 1.718E-01 3.681E-01 
