Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 2.656E+00 1.113E-02 1.910E+03 1.913E+03 
1.500E-03 2.413E+00 2.080E-02 6.523E+02 6.547E+02 
2.000E-03 2.164E+00 3.025E-02 2.996E+02 3.018E+02 
2.145E-03 2.096E+00 3.286E-02 2.473E+02 2.494E+02 
2.145E-03 2.096E+00 3.286E-02 2.471E+03 2.473E+03 
3.000E-03 1.745E+00 4.637E-02 1.116E+03 1.118E+03 
4.000E-03 1.448E+00 5.885E-02 5.226E+02 5.241E+02 
5.000E-03 1.237E+00 6.879E-02 2.848E+02 2.861E+02 
6.000E-03 1.076E+00 7.719E-02 1.715E+02 1.726E+02 
8.000E-03 8.329E-01 9.134E-02 7.567E+01 7.660E+01 
1.000E-02 6.539E-01 1.030E-01 3.960E+01 4.036E+01 
1.500E-02 3.824E-01 1.233E-01 1.188E+01 1.239E+01 
2.000E-02 2.502E-01 1.346E-01 4.970E+00 5.354E+00 
3.000E-02 1.341E-01 1.446E-01 1.421E+00 1.700E+00 
4.000E-02 8.450E-02 1.480E-01 5.771E-01 8.095E-01 
5.000E-02 5.806E-02 1.485E-01 2.852E-01 4.918E-01 
