Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 2.947E+00 1.011E-02 2.426E+03 2.429E+03 
1.500E-03 2.695E+00 1.951E-02 8.314E+02 8.341E+02 
2.000E-03 2.426E+00 2.917E-02 3.827E+02 3.852E+02 
2.472E-03 2.182E+00 3.771E-02 2.147E+02 2.169E+02 
2.472E-03 2.182E+00 3.771E-02 2.068E+03 2.070E+03 
3.000E-03 1.949E+00 4.637E-02 1.337E+03 1.339E+03 
4.000E-03 1.600E+00 6.002E-02 6.321E+02 6.338E+02 
5.000E-03 1.353E+00 7.073E-02 3.473E+02 3.487E+02 
6.000E-03 1.172E+00 7.946E-02 2.103E+02 2.116E+02 
8.000E-03 9.109E-01 9.358E-02 9.364E+01 9.464E+01 
1.000E-02 7.229E-01 1.050E-01 4.930E+01 5.013E+01 
1.500E-02 4.301E-01 1.254E-01 1.495E+01 1.550E+01 
2.000E-02 2.821E-01 1.372E-01 6.290E+00 6.709E+00 
3.000E-02 1.512E-01 1.479E-01 1.814E+00 2.113E+00 
4.000E-02 9.544E-02 1.515E-01 7.403E-01 9.872E-01 
5.000E-02 6.579E-02 1.521E-01 3.670E-01 5.849E-01 
