Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 3.034E+00 8.556E-03 2.828E+03 2.831E+03 
1.500E-03 2.796E+00 1.691E-02 9.743E+02 9.772E+02 
2.000E-03 2.531E+00 2.585E-02 4.495E+02 4.520E+02 
2.822E-03 2.117E+00 3.973E-02 1.753E+02 1.775E+02 
2.822E-03 2.117E+00 3.973E-02 1.634E+03 1.637E+03 
3.000E-03 2.038E+00 4.248E-02 1.471E+03 1.473E+03 
4.000E-03 1.662E+00 5.621E-02 7.020E+02 7.038E+02 
5.000E-03 1.392E+00 6.710E-02 3.886E+02 3.901E+02 
6.000E-03 1.196E+00 7.581E-02 2.371E+02 2.384E+02 
8.000E-03 9.275E-01 8.935E-02 1.065E+02 1.075E+02 
1.000E-02 7.415E-01 1.000E-01 5.641E+01 5.725E+01 
1.500E-02 4.486E-01 1.191E-01 1.728E+01 1.784E+01 
2.000E-02 2.956E-01 1.305E-01 7.314E+00 7.740E+00 
3.000E-02 1.583E-01 1.411E-01 2.127E+00 2.426E+00 
4.000E-02 1.000E-01 1.446E-01 8.719E-01 1.117E+00 
5.000E-02 6.912E-02 1.454E-01 4.338E-01 6.483E-01 
