Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 3.042E+00 7.079E-03 3.181E+03 3.184E+03 
1.500E-03 2.822E+00 1.420E-02 1.102E+03 1.105E+03 
2.000E-03 2.570E+00 2.204E-02 5.094E+02 5.120E+02 
3.000E-03 2.083E+00 3.717E-02 1.682E+02 1.704E+02 
3.203E-03 1.993E+00 4.001E-02 1.404E+02 1.424E+02 
3.203E-03 1.993E+00 4.001E-02 1.273E+03 1.275E+03 
4.000E-03 1.694E+00 5.023E-02 7.554E+02 7.571E+02 
5.000E-03 1.409E+00 6.099E-02 4.210E+02 4.225E+02 
6.000E-03 1.201E+00 6.971E-02 2.581E+02 2.594E+02 
8.000E-03 9.245E-01 8.293E-02 1.170E+02 1.180E+02 
1.000E-02 7.411E-01 9.288E-02 6.232E+01 6.315E+01 
1.500E-02 4.556E-01 1.105E-01 1.927E+01 1.983E+01 
2.000E-02 3.016E-01 1.213E-01 8.207E+00 8.630E+00 
3.000E-02 1.616E-01 1.316E-01 2.403E+00 2.696E+00 
4.000E-02 1.021E-01 1.351E-01 9.909E-01 1.228E+00 
5.000E-02 7.070E-02 1.359E-01 4.946E-01 7.012E-01 
