Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 3.347E+00 1.216E-02 4.054E+03 4.057E+03 
1.500E-03 3.079E+00 1.958E-02 1.415E+03 1.418E+03 
2.000E-03 2.817E+00 2.703E-02 6.565E+02 6.593E+02 
3.000E-03 2.327E+00 4.162E-02 2.175E+02 2.199E+02 
3.607E-03 2.065E+00 4.977E-02 1.306E+02 1.327E+02 
3.607E-03 2.065E+00 4.977E-02 1.199E+03 1.201E+03 
4.000E-03 1.916E+00 5.463E-02 9.235E+02 9.255E+02 
5.000E-03 1.599E+00 6.577E-02 5.172E+02 5.189E+02 
6.000E-03 1.360E+00 7.507E-02 3.190E+02 3.204E+02 
8.000E-03 1.042E+00 8.932E-02 1.458E+02 1.469E+02 
1.000E-02 8.362E-01 9.984E-02 7.814E+01 7.907E+01 
1.500E-02 5.226E-01 1.182E-01 2.438E+01 2.502E+01 
2.000E-02 3.490E-01 1.297E-01 1.045E+01 1.093E+01 
3.000E-02 1.873E-01 1.410E-01 3.084E+00 3.412E+00 
4.000E-02 1.185E-01 1.449E-01 1.277E+00 1.541E+00 
5.000E-02 8.214E-02 1.458E-01 6.398E-01 8.678E-01 
