Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 3.582E+00 1.494E-02 4.862E+03 4.866E+03 
1.500E-03 3.259E+00 2.356E-02 1.710E+03 1.713E+03 
2.000E-03 2.963E+00 3.100E-02 7.968E+02 7.998E+02 
3.000E-03 2.463E+00 4.481E-02 2.651E+02 2.676E+02 
4.000E-03 2.051E+00 5.716E-02 1.197E+02 1.218E+02 
4.038E-03 2.036E+00 5.759E-02 1.166E+02 1.187E+02 
4.038E-03 2.036E+00 5.759E-02 1.021E+03 1.023E+03 
5.000E-03 1.720E+00 6.795E-02 6.007E+02 6.025E+02 
6.000E-03 1.465E+00 7.722E-02 3.716E+02 3.731E+02 
8.000E-03 1.116E+00 9.173E-02 1.714E+02 1.727E+02 
1.000E-02 8.954E-01 1.024E-01 9.241E+01 9.341E+01 
1.500E-02 5.671E-01 1.206E-01 2.911E+01 2.979E+01 
2.000E-02 3.823E-01 1.322E-01 1.255E+01 1.306E+01 
3.000E-02 2.059E-01 1.439E-01 3.729E+00 4.079E+00 
4.000E-02 1.302E-01 1.481E-01 1.552E+00 1.830E+00 
5.000E-02 9.040E-02 1.491E-01 7.800E-01 1.019E+00 
