Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 3.553E+00 1.301E-02 5.234E+03 5.237E+03 
1.500E-03 3.244E+00 2.103E-02 1.854E+03 1.857E+03 
2.000E-03 2.952E+00 2.796E-02 8.675E+02 8.705E+02 
3.000E-03 2.455E+00 4.062E-02 2.897E+02 2.922E+02 
4.000E-03 2.050E+00 5.199E-02 1.311E+02 1.332E+02 
4.493E-03 1.877E+00 5.709E-02 9.495E+01 9.688E+01 
4.493E-03 1.877E+00 5.709E-02 8.128E+02 8.148E+02 
5.000E-03 1.720E+00 6.198E-02 6.288E+02 6.306E+02 
6.000E-03 1.463E+00 7.069E-02 3.918E+02 3.934E+02 
8.000E-03 1.107E+00 8.458E-02 1.816E+02 1.828E+02 
1.000E-02 8.837E-01 9.480E-02 9.854E+01 9.952E+01 
1.500E-02 5.622E-01 1.119E-01 3.135E+01 3.202E+01 
2.000E-02 3.820E-01 1.227E-01 1.358E+01 1.409E+01 
3.000E-02 2.063E-01 1.338E-01 4.068E+00 4.408E+00 
4.000E-02 1.304E-01 1.378E-01 1.701E+00 1.970E+00 
5.000E-02 9.062E-02 1.389E-01 8.577E-01 1.087E+00 
