Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 3.692E+00 1.182E-02 5.865E+03 5.869E+03 
1.500E-03 3.387E+00 1.950E-02 2.093E+03 2.096E+03 
2.000E-03 3.093E+00 2.619E-02 9.829E+02 9.861E+02 
3.000E-03 2.581E+00 3.837E-02 3.297E+02 3.323E+02 
4.000E-03 2.157E+00 4.940E-02 1.495E+02 1.518E+02 
4.966E-03 1.824E+00 5.884E-02 8.192E+01 8.380E+01 
4.966E-03 1.824E+00 5.884E-02 6.859E+02 6.877E+02 
5.000E-03 1.814E+00 5.914E-02 6.820E+02 6.838E+02 
6.000E-03 1.541E+00 6.769E-02 4.308E+02 4.324E+02 
8.000E-03 1.160E+00 8.158E-02 2.011E+02 2.024E+02 
1.000E-02 9.203E-01 9.193E-02 1.097E+02 1.107E+02 
1.500E-02 5.854E-01 1.090E-01 3.518E+01 3.587E+01 
2.000E-02 4.006E-01 1.196E-01 1.533E+01 1.585E+01 
3.000E-02 2.170E-01 1.308E-01 4.624E+00 4.971E+00 
4.000E-02 1.371E-01 1.350E-01 1.941E+00 2.213E+00 
5.000E-02 9.528E-02 1.361E-01 9.821E-01 1.213E+00 
