Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 4.141E+00 8.544E-03 7.401E+03 7.405E+03 
1.500E-03 3.864E+00 1.491E-02 2.690E+03 2.694E+03 
2.000E-03 3.573E+00 2.106E-02 1.274E+03 1.278E+03 
3.000E-03 3.018E+00 3.280E-02 4.308E+02 4.339E+02 
4.000E-03 2.532E+00 4.357E-02 1.962E+02 1.988E+02 
5.000E-03 2.129E+00 5.328E-02 1.058E+02 1.080E+02 
5.989E-03 1.808E+00 6.188E-02 6.386E+01 6.573E+01 
5.989E-03 1.808E+00 6.188E-02 5.140E+02 5.159E+02 
6.000E-03 1.804E+00 6.197E-02 5.142E+02 5.161E+02 
8.000E-03 1.346E+00 7.658E-02 2.499E+02 2.514E+02 
1.000E-02 1.055E+00 8.785E-02 1.376E+02 1.387E+02 
1.500E-02 6.628E-01 1.063E-01 4.495E+01 4.572E+01 
2.000E-02 4.573E-01 1.174E-01 1.981E+01 2.038E+01 
3.000E-02 2.494E-01 1.294E-01 6.055E+00 6.434E+00 
4.000E-02 1.573E-01 1.341E-01 2.564E+00 2.856E+00 
5.000E-02 1.092E-01 1.355E-01 1.306E+00 1.551E+00 
