Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 4.537E+00 8.777E-03 9.081E+03 9.085E+03 
1.500E-03 4.241E+00 1.530E-02 3.396E+03 3.400E+03 
2.000E-03 3.933E+00 2.124E-02 1.623E+03 1.627E+03 
3.000E-03 3.354E+00 3.206E-02 5.543E+02 5.576E+02 
4.000E-03 2.849E+00 4.212E-02 2.538E+02 2.567E+02 
5.000E-03 2.421E+00 5.133E-02 1.374E+02 1.399E+02 
6.000E-03 2.065E+00 5.966E-02 8.272E+01 8.484E+01 
7.112E-03 1.745E+00 6.800E-02 5.138E+01 5.320E+01 
7.112E-03 1.745E+00 6.800E-02 4.059E+02 4.077E+02 
8.000E-03 1.542E+00 7.395E-02 3.040E+02 3.056E+02 
1.000E-02 1.201E+00 8.541E-02 1.694E+02 1.707E+02 
1.500E-02 7.458E-01 1.047E-01 5.623E+01 5.709E+01 
2.000E-02 5.170E-01 1.162E-01 2.505E+01 2.568E+01 
3.000E-02 2.849E-01 1.286E-01 7.763E+00 8.176E+00 
4.000E-02 1.795E-01 1.338E-01 3.316E+00 3.629E+00 
5.000E-02 1.244E-01 1.355E-01 1.697E+00 1.957E+00 
