Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 4.659E+00 8.041E-03 9.790E+03 9.795E+03 
1.500E-03 4.374E+00 1.417E-02 3.692E+03 3.696E+03 
2.000E-03 4.070E+00 1.983E-02 1.775E+03 1.779E+03 
3.000E-03 3.492E+00 3.020E-02 6.093E+02 6.129E+02 
4.000E-03 2.981E+00 3.988E-02 2.800E+02 2.830E+02 
5.000E-03 2.541E+00 4.881E-02 1.517E+02 1.543E+02 
6.000E-03 2.173E+00 5.693E-02 9.149E+01 9.372E+01 
7.709E-03 1.691E+00 6.907E-02 4.535E+01 4.711E+01 
7.709E-03 1.691E+00 6.907E-02 3.538E+02 3.555E+02 
8.000E-03 1.626E+00 7.093E-02 3.231E+02 3.248E+02 
1.000E-02 1.263E+00 8.228E-02 1.828E+02 1.842E+02 
1.500E-02 7.783E-01 1.016E-01 6.113E+01 6.201E+01 
2.000E-02 5.391E-01 1.132E-01 2.738E+01 2.803E+01 
3.000E-02 2.983E-01 1.257E-01 8.538E+00 8.962E+00 
4.000E-02 1.880E-01 1.310E-01 3.661E+00 3.980E+00 
5.000E-02 1.302E-01 1.328E-01 1.881E+00 2.144E+00 
