Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 5.054E+00 5.914E-03 1.057E+04 1.057E+04 
1.047E-03 5.032E+00 6.362E-03 9.328E+03 9.333E+03 
1.096E-03 5.008E+00 6.838E-03 8.240E+03 8.245E+03 
1.096E-03 5.008E+00 6.838E-03 9.340E+03 9.345E+03 
1.500E-03 4.806E+00 1.086E-02 4.413E+03 4.418E+03 
2.000E-03 4.525E+00 1.591E-02 2.149E+03 2.154E+03 
3.000E-03 3.946E+00 2.587E-02 7.449E+02 7.488E+02 
4.000E-03 3.399E+00 3.527E-02 3.439E+02 3.473E+02 
5.000E-03 2.914E+00 4.391E-02 1.870E+02 1.899E+02 
6.000E-03 2.500E+00 5.181E-02 1.131E+02 1.156E+02 
8.000E-03 1.872E+00 6.569E-02 5.062E+01 5.255E+01 
8.979E-03 1.646E+00 7.162E-02 3.657E+01 3.829E+01 
8.979E-03 1.646E+00 7.162E-02 2.766E+02 2.783E+02 
1.000E-02 1.450E+00 7.725E-02 2.145E+02 2.160E+02 
1.500E-02 8.797E-01 9.761E-02 7.308E+01 7.405E+01 
2.000E-02 6.059E-01 1.098E-01 3.308E+01 3.380E+01 
3.000E-02 3.369E-01 1.231E-01 1.045E+01 1.091E+01 
4.000E-02 2.124E-01 1.289E-01 4.520E+00 4.862E+00 
5.000E-02 1.467E-01 1.311E-01 2.335E+00 2.613E+00 
