Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 5.052E+00 7.812E-03 9.850E+03 9.856E+03 
1.004E-03 5.050E+00 7.861E-03 9.748E+03 9.753E+03 
1.008E-03 5.047E+00 7.910E-03 9.651E+03 9.656E+03 
1.008E-03 5.047E+00 7.910E-03 1.099E+04 1.099E+04 
1.500E-03 4.761E+00 1.390E-02 4.230E+03 4.234E+03 
2.000E-03 4.447E+00 1.960E-02 2.044E+03 2.048E+03 
3.000E-03 3.838E+00 3.003E-02 7.056E+02 7.095E+02 
4.000E-03 3.293E+00 3.984E-02 3.249E+02 3.282E+02 
5.000E-03 2.819E+00 4.895E-02 1.764E+02 1.793E+02 
6.000E-03 2.417E+00 5.727E-02 1.065E+02 1.090E+02 
8.000E-03 1.811E+00 7.172E-02 4.764E+01 4.952E+01 
8.333E-03 1.733E+00 7.386E-02 4.247E+01 4.428E+01 
8.333E-03 1.733E+00 7.386E-02 3.275E+02 3.293E+02 
1.000E-02 1.406E+00 8.359E-02 2.075E+02 2.090E+02 
1.500E-02 8.601E-01 1.041E-01 6.985E+01 7.081E+01 
2.000E-02 5.947E-01 1.165E-01 3.149E+01 3.220E+01 
3.000E-02 3.303E-01 1.299E-01 9.883E+00 1.034E+01 
4.000E-02 2.082E-01 1.356E-01 4.256E+00 4.600E+00 
5.000E-02 1.440E-01 1.377E-01 2.193E+00 2.474E+00 
