Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 1.501E+00 8.514E-03 4.588E+03 4.590E+03 
1.500E-03 1.392E+00 1.768E-02 1.547E+03 1.549E+03 
2.000E-03 1.263E+00 2.846E-02 6.937E+02 6.950E+02 
3.000E-03 1.002E+00 5.089E-02 2.160E+02 2.171E+02 
4.000E-03 7.833E-01 7.099E-02 9.229E+01 9.315E+01 
5.000E-03 6.180E-01 8.744E-02 4.720E+01 4.791E+01 
6.000E-03 4.980E-01 1.003E-01 2.710E+01 2.770E+01 
8.000E-03 3.447E-01 1.182E-01 1.117E+01 1.163E+01 
1.000E-02 2.565E-01 1.294E-01 5.567E+00 5.953E+00 
1.500E-02 1.486E-01 1.454E-01 1.542E+00 1.836E+00 
2.000E-02 9.888E-02 1.540E-01 6.124E-01 8.653E-01 
3.000E-02 5.247E-02 1.613E-01 1.641E-01 3.779E-01 
4.000E-02 3.215E-02 1.624E-01 6.395E-02 2.585E-01 
5.000E-02 2.166E-02 1.609E-01 3.068E-02 2.133E-01 
