V0_LATITUDE,V0_LONGITUDE,V1_LATITUDE,V1_LONGITUDE,V2_LATITUDE,V2_LONGITUDE,V3_LATITUDE,V3_LONGITUDE,MG_WT,AL_WT,SI_WT,FE_WT,NA_WT,O_WT,TI_WT,CA_WT,chi2
88.14,9.0875,82.4653,2.8332,82.3971,8.7889,87.8837,30.4416,4.26916987,8.53358118,11.79510067,3.15579051,4.99985564,45.0,2.24668464,19.99981749,2.605942
-62.1422,-57.9815,-67.6514,-59.7615,-68.274,-57.9793,-62.7609,-56.5219,4.304624,11.432389,12.71190773,1.02236697,3.31067962,45.0,2.21803471,19.99999796,1.715191
88.4132,119.519,82.7696,115.718,82.7241,121.188,88.2193,142.105,3.63651678,10.10443968,14.28833395,1.33077556,4.99999997,45.0,0.6409233,19.99901077,2.15645
86.2524,21.0885,80.6648,12.1557,80.5612,16.6391,86.0065,31.222,6.34169713,17.83671426,21.50883447,1.00000002,3.31275297,45.0,1.14e-06,5.00000001,2.062611
85.7991,162.4292,80.1104,166.3204,80.1204,170.9696,85.8199,173.2707,2.05,13.38,18.55,2.94,3.43877634,45.0,4.44156512,11.02925916,2.074176575851414
-68.4838,-75.7509,-73.9949,-77.9714,-74.6132,-75.5023,-69.0918,-73.8642,3.17507596,8.08799038,11.56824131,1.3888355,2.27535575,45.0,19.83699174,8.66750936,1.375164
75.9092,32.1338,70.2636,31.0833,70.2202,33.1915,75.8505,34.9822,2.93413792,6.77442816,11.27762621,1.79022501,2.45611027,45.0,19.25062859,10.51684383,3.469795
-67.4195,-7.6399,-73.0093,-9.2408,-73.4199,-6.8792,-67.8091,-5.809,4.95,15.4,13.92,10.29,1.89522734,45.0,0.4968356,5.01655907,2.122442414817593
-21.4211,-66.2151,-27.1619,-66.0636,-26.9735,-65.0893,-21.2606,-65.275,2.66992149,8.85291052,11.25887413,3.96492636,3.26034757,45.0,4.9930265,19.99999342,2.085004
75.0316,-79.528,69.5074,-81.3816,68.9902,-79.6199,74.4849,-77.2459,6.74963698,17.72175468,22.6027188,1.0000001,1.92588836,45.0,1.03e-06,5.00000005,1.486359
-35.0334,164.584,-40.7206,165.027,-40.2263,166.178,-34.5773,165.679,5.55922384,6.41686751,14.01424558,3.75525658,2.88883251,45.0,2.3657756,19.99979837,1.449105
33.0963,-66.9072,27.3513,-67.105,27.1919,-66.1112,32.907,-65.8602,5.45214558,6.62009198,16.2578496,2.36038759,3.93213608,45.0,0.37739533,19.99999385,3.099956
89.3474,123.742,84.934,-75.3506,84.9957,-67.6381,89.8785,-136.036,2.0692984,5.00080284,13.88182623,4.4975328,4.99999699,45.0,4.55055761,19.99998512,1.620542
82.1605,16.8893,76.523,13.7351,76.4471,16.9113,82.0338,22.1452,4.7608721,12.38608562,15.66969544,1.11052154,2.15141673,45.0,10.75672369,8.16468489,1.728812
80.362,-115.958,74.885,-112.171,75.5223,-109.554,81.0203,-112.044,3.27453576,6.38808275,8.70711836,2.02269455,2.96879567,45.0,19.32220604,12.31656687,2.927847
64.7893,-54.7993,59.2103,-53.58,59.6596,-52.1199,65.27,-53.07,6.07,12.44,12.89,11.79,2.93155611,45.0,1.90246706,12.50342896,1.8941337916190863
50.6118,-54.8768,45.0031,-55.5776,44.5075,-54.5477,50.0807,-53.7564,10.39837154,12.11397705,24.91701241,1.0,1.5706374,45.0,1.56e-06,5.00000003,1.540089
-16.1432,-66.1603,-21.8912,-66.0428,-21.7324,-65.1001,-16.014,-65.242,3.95232189,7.85935168,11.72934166,3.97946925,3.80022108,45.0,3.67930457,19.99998988,2.290294
44.514,-10.5314,38.9077,-11.0913,38.4218,-10.1724,43.9889,-9.5556,15.65327608,13.42983014,16.52948246,1.00000206,3.38736449,45.0,4.21e-05,5.00000263,2.104231
89.6482,-30.7229,84.8095,-56.3236,85.2946,-48.031,89.4781,170.126,2.69416272,5.15488691,7.31388766,1.69909331,2.31774685,45.0,18.18839502,17.63182753,1.573608
68.9006,-65.1977,63.3684,-66.5035,62.839,-65.0698,68.345,-63.4772,3.81684425,10.92554565,13.81142151,1.92573097,3.50756127,45.0,1.01289713,19.99999923,1.552475
-44.6049,-59.6196,-50.1424,-58.7958,-49.5112,-57.7556,-44.0056,-58.64,3.15513442,6.39597816,7.37242123,2.07765678,2.30850396,45.0,19.23585271,14.45445273,1.541493
-72.1143,-173.542,-77.6791,-172.958,-77.097,-169.596,-71.5476,-171.12,4.41203586,7.01644913,11.64724245,5.69927435,1.50526482,45.0,4.7197334,19.99999999,1.678736
-52.8772,-112.704,-58.4189,-111.68,-57.783,-110.37,-52.2652,-111.51,2.37440446,5.81474784,10.16338373,6.21168594,4.34090849,45.0,6.09486972,19.99999982,2.57141
-22.8588,22.288,-28.5287,22.4715,-28.4185,23.2386,-22.7704,23.0239,5.23587752,9.655052,12.44762127,3.11609386,3.34320896,45.0,1.20239174,19.99975463,2.746142
-85.7226,101.632,-89.0524,-113.783,-89.7999,-45.1938,-86.2682,111.735,1.57013982,15.64372258,9.99619926,1.69776529,4.99999991,45.0,1.09235241,19.99982074,1.919233
-74.4173,-76.8254,-79.927,-80.2274,-80.5401,-76.3183,-75.0069,-74.2096,2.03539706,7.37208938,16.91818934,1.37897913,4.9999905,45.0,2.29541808,19.99993651,2.937436
72.7281,-113.252,67.2166,-115.005,66.5752,-113.232,72.0603,-111.082,4.84854956,11.11440671,13.94384266,1.11893942,3.85351283,45.0,0.12074906,19.99999976,3.020316
-54.7223,-60.9899,-59.5733,-61.2119,-60.2172,-59.9039,-54.0799,-59.8561,6.11578721,14.83873853,20.96649774,1.00000371,2.80618082,45.0,5e-06,9.27278699,1.609951
-71.2056,-111.686,-76.6867,-114.483,-77.3311,-111.687,-71.8379,-109.618,2.80384411,6.56528279,16.23515174,2.20772684,4.99999547,45.0,2.18801492,19.99998412,3.363467
68.5489,-39.456,63.0009,-40.4905,62.4332,-39.0219,67.9535,-37.6832,8.15871938,18.97812893,18.07705505,1.00000007,3.78608564,45.0,1.06e-05,5.00000029,1.387802
