lat0,lon0,lat1,lon1,lat2,lon2,lat3,lon3,Fe,Ti,Ca,Si,Al,Mg,Na,O,chi2
-77.8985,49.9708,-82.7908,48.7379,-83.3969,53.5707,-77.3283,52.7677,4.327163612630623,2.9149100384136086,19.610037488168366,3.703956963531596,19.48839418923514,0.9630601538833188,3.992477554137353,45.0,3.264485
89.1219,-113.851,83.9688,-52.543,84.0909,-46.6477,88.7988,-83.4407,9.720286910799908,19.722092261745715,7.759919185956215,1.1466869082145763,11.6509008748143,0.0001138667070014,4.999999991762284,45.0,1.386891
89.128,-141.413,84.3719,-53.5867,84.5029,-47.277,89.0467,-101.446,5.896393620636027,16.937510387972544,19.68952542568311,1.6418858504317484,5.890611512906417,0.0034707206735582,4.940602481696585,45.0,1.359227
88.9527,-164.224,84.7727,-54.7893,84.914,-48.0063,89.1505,-127.336,9.25281217469886,3.69289358547677,19.99999033209649,8.984763792893546,6.971026544202272,1.0985738421006,4.999939728531461,45.0,1.369836
88.9527,-164.224,85.1709,-56.1912,85.3243,-48.8637,89.1505,-127.336,6.693917814031451,3.227960949349098,19.99997877758947,11.827972719764546,6.692116118563492,1.5580537344926304,4.999999886209312,45.0,1.311929
88.6655,-178.905,85.5657,-57.8439,85.7333,-49.8857,89.0612,-153.666,5.932564030016644,3.054684423381084,19.99994489111628,11.432151923181792,7.049563326038793,2.5310915121894726,4.999999894075944,45.0,1.270768
88.3231,171.986,85.956,-59.8148,86.1406,-51.121,88.822,-172.318,3.4309021422190504,1.92554535217571,19.9999949651734,13.756277495519043,8.416139785579729,2.471140261139666,4.999999998193397,45.0,1.276345
88.503,176.107,86.3406,-62.2032,86.5458,-52.6461,88.0745,-168.259,2.432724837431524,1.1552275913840904,19.99999996676378,13.520439710170422,8.875090242314952,4.016517657885072,4.999999994050152,45.0,1.474451
88.1451,168.787,86.7173,-65.1453,86.9477,-54.574,87.7846,-176.558,4.12841542726908,1.349262825355073,19.99991532375651,12.156984211671327,9.37103219287808,4.057754921777933,3.9366350972919855,45.0,1.648574
87.915,-83.5317,86.7739,156.791,86.5538,166.965,88.3008,-68.4376,2.3580259370199914,0.1787922942242831,19.99995010942515,13.613931258175173,10.572989169827864,4.729267057915252,3.5470441734122917,45.0,1.856512
88.1848,-92.9034,86.3703,155.053,86.1732,164.284,88.6456,-77.2948,1.0000002514897697,1.7750486653922802e-06,18.75377472069947,14.835550619387078,12.9725064198549,5.153151950856008,2.285014262664102,45.0,1.895524
88.9373,-91.544,85.9641,153.664,85.7858,162.093,88.4757,-72.2992,2.5272058594115387,1.016525993899121e-06,19.759553951047717,13.6738884913089,11.381253340141814,5.495387601802819,2.1627097397612274,45.0,2.069522
89.1219,-113.851,85.5562,152.53,85.3935,160.273,88.7988,-83.4407,3.028872642955429,0.0175441922159123,19.999318910273374,14.350874857561408,10.418523187962808,5.149713340761504,2.0351528682695674,45.0,2.128637
89.128,-141.413,85.1466,151.584,84.9971,158.738,89.0467,-101.446,1.919768002490505,6.738863803679087e-06,19.99292151233749,14.75897443169488,10.482061929638434,4.732935521879667,3.11333186309521,45.0,2.163444
88.9527,-164.224,84.7361,150.786,84.5979,157.43,89.1505,-127.336,1.0369598362654049,0.9450465939817724,17.789120806288015,16.121929960413624,11.488083359632942,4.887932160569118,2.7309272828491227,45.0,2.285103
88.9527,-164.224,84.3246,150.103,84.196,156.301,89.1505,-127.336,1.0008601609304577,3.4916274793193685,17.834797126462814,14.608877472475612,10.960075290127609,4.483768223295939,2.619994247388198,45.0,2.209678
88.6655,-178.905,83.9125,149.511,83.7925,155.319,89.0612,-153.666,1.0004138680952388,19.58995111490557,7.138477132534312,12.113021013876818,9.031869825876695,4.016803978699532,2.1094630660118354,45.0,2.27416
88.3231,171.986,83.4999,148.994,83.3872,154.457,88.822,-172.318,1.0140771576499286,3.50784855794353,5.011824716464515,19.29252321060125,16.261619540256515,6.14570165583593,3.7664051612483376,45.0,2.432861
88.503,176.107,83.0867,148.538,82.9806,153.693,88.0745,-168.259,1.000003364527313,2.217454164742402e-06,9.982692179472782,18.588733667237108,15.486421986987942,6.48142262506079,3.4607239592598944,45.0,2.700493
87.3772,160.419,81.8456,147.445,81.7552,151.854,87.1107,172.348,1.179862327671951,3.2597670312640386,10.05324236702944,19.0079501509198,12.669578264056383,5.360204428424817,3.4693954306335724,45.0,2.660458
86.5789,155.889,81.017,146.882,80.9347,150.903,86.3703,165.601,1.1081020051660515,7.845164955339941,11.326207974433023,15.40573895732706,11.55301949641632,4.631345939794816,3.130420671522784,45.0,2.586836
86.1745,154.338,80.6024,146.637,80.5236,150.489,85.9867,163.178,1.0000003074801995,15.779302668284975,7.435823641333377,12.910935573891564,10.585094986786237,4.1854093092017015,3.1034335130219377,45.0,2.526375
85.3593,152.046,79.7729,146.206,79.7003,149.76,85.2031,159.506,1.0643332528800924,14.241076986352963,5.980879189839779,14.136063393134537,12.022111741335562,4.416815737070495,3.138719699386572,45.0,2.609407
84.9495,151.178,79.3581,146.016,79.2882,149.437,84.8055,158.088,1.1157474245973036,18.47982217461784,7.076779957305303,11.248660389791183,10.153462323775477,4.053377412350804,2.8721503175620904,45.0,2.920074
84.539,150.438,78.9431,145.839,78.8757,149.138,84.4054,156.871,1.000256374133686,17.511383943687196,7.501016813409729,11.216321297035364,10.60837492944161,4.278484441419311,2.8841622008731043,45.0,3.269522
84.1276,149.803,78.5281,145.674,78.4631,148.859,84.0031,155.817,1.0301879836505132,15.651021765014496,9.93077328340254,10.709646509704951,10.884722609451972,4.2053191640474825,2.58832868472805,45.0,3.304269
83.7156,149.249,78.113,145.521,78.0502,148.6,83.599,154.895,1.016881163753313,15.292161750602997,12.034718098183577,9.902978810975398,10.582073606380236,3.904514441095172,2.26667212900931,45.0,3.372757
89.0907,-105.865,83.8328,-53.1511,83.9507,-47.3707,88.7034,-79.4584,7.097147203927679,19.98570633062548,7.726274355651495,0.7872006561944431,14.403674983272891,2.4207499013814672e-06,4.999994049578113,45.0,1.443917
89.1654,-133.094,84.2367,-54.1375,84.363,-47.9585,88.9867,-94.768,3.4873479903314624,19.99997665849043,10.670499250380672,3.4999685662411224,12.342231876987476,1.4630663936669522e-06,4.999974194502441,45.0,1.671458
89.1654,-133.094,84.6386,-55.2713,84.7747,-48.638,88.9867,-94.768,3.159586871908984,19.39854576516576,14.333860733756328,4.148983781491964,8.959022393050143,1.1204199567567486e-06,4.999999334206864,45.0,1.783282
89.0443,-158.889,85.038,-56.5866,85.1854,-49.4318,89.152,-118.559,3.0070230444953525,19.99427257272473,14.466629518615704,5.096907360301259,7.041613756407559,0.3935537504029838,4.999999997052417,45.0,1.725364
88.7846,-176.279,85.4346,-58.1328,85.5952,-50.3744,89.1293,-146.56,3.055390840054743,11.951817980192708,18.72936499786028,7.845536982634144,8.247480783636695,0.1704089205733641,4.999999495048056,45.0,1.762424
